"","Corpus","Aptitude","Rank","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"1","5k1k","20p","rank10P","0.39127489649864","0.203231557344194","0.175499359087626","0.0945512026946811","0.0678749985097583","0.0675679858650999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","5k1k","20p","rank20P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","5k1k","20p","rank30P","0.314504666215897","0.188097942016797","0.175873849833964","0.159169183542586","0.127465477126872","0.0348888812638845","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","5k1k","20p","rank40P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","5k1k","20p","rank50P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","5k1k","20p","rank60P","0.221012305200927","0.229646683231707","0.248082967546532","0.179363452606716","0.0867738414337369","0.0280791152944934","0.00607375274845345","0.000967881937434689","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","5k1k","20p","rank70P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","5k1k","20p","rank80P","0.391738983933164","0.298318056567857","0.244846793485709","0.0650961660132693","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","5k1k","20p","rank90P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","5k1k","20p","rank100P","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","5k1k","40p","rank10P","0.0489435991942333","0.0281981501209803","0.0391084756402437","0.0514427934699908","0.064177342946673","0.0759351009515457","0.0852132562569106","0.0906933732343502","0.0915477743288775","0.0876443393538793","0.0795799708411787","0.068531060063767","0.0559725138686626","0.0433576519393043","0.0318537184920076","0.022195135211443","0.014667582254886","0.0209381618310667","0","0","0"
"12","5k1k","40p","rank20P","0.285777755367343","0.704090289639351","0.0101319549933057","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","5k1k","40p","rank30P","0.0369307362646906","0.04195699238148","0.069913772875943","0.100580429467097","0.124968100936518","0.134220732311863","0.124942722051366","0.101548086664374","0.0735130563020288","0.0497572719906343","0.034450976319974","0.0266302587472331","0.0227090472229408","0.0194130028896736","0.0153197292080521","0.0107084112203496","0.00652153717912995","0.00591513596665139","0","0","0"
"14","5k1k","40p","rank40P","0.332907312833506","0.658139671321818","0.00895301584467656","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","5k1k","40p","rank50P","0.510500905290725","0.489499094709275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","5k1k","40p","rank70P","0.259012395325974","0.740987604674026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","5k1k","40p","rank90P","0.512443367820792","0.476566621732741","0.0109900104464673","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","5k1k","40p","rank100P","0.698560898678079","0.301439101321921","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
